,Name,URL,Condition,Make,Model,Transmission,Drive Type,Mileage,Build Year,Body Type,Car Features,Price
NISSAN JUKE 2012,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-juke-2012-5313092
",Used,Nissan,juke,Automatic,2 Wheel Drive,null,2012,4x4-suvs,null,"Br 2,350,000"
NISSAN JUKE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-juke-2022-brand-new-5313086
",New,Nissan,juke,Automatic,2 Wheel Drive,"2,500 km",2022,4x4-suvs,null,"Br 4,600,000"
TOYOTA RAIZE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-raize-2022-brand-new-5313084
",New,Toyota,null,Automatic,2 Wheel Drive,0 km,2022,4x4-suvs,null,"Br 3,650,000"
HYUNDAI SANTA FE HYBRID 2021,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-santa-fe-hybrid-2021-5313013
",New,Hyundai,Santa Fe,Automatic,Other,"3,000 km",2021,4x4-suvs,null,"Br 7,700,000"
HYUNDAI CRETA 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-creta-2022-brand-new-5313129
",New,Hyundai,Creta,Automatic,2 Wheel Drive,100 km,2022,4x4-suvs,null,"Br 5,150,000"
TOYOTA RAV4 HYBRID 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-rav4-hybrid-2022-brand-new-5313123
",New,Toyota,RAV4,Automatic,Other,0 km,2022,4x4-suvs,null,"Br 11,500,000"
PEUGEOT 5008 GT LINE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/peugeot-5008-gt-line-2022-brand-new-5313118
",New,Peugeot,null,Automatic,2 Wheel Drive,0 km,2022,4x4-suvs,null,"Br 6,600,000"
HYUNDAI TUCSON 2022 Dubai,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-tucson-2022-dubai-5313112
",New,Hyundai,Tucson,Automatic,Other,"7,000 km",2022,4x4-suvs,null,"Br 5,900,000"
HYUNDAI ATOS 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-atos-2022-brand-new-5313104
",New,Hyundai,Atos,Automatic,Other,0 km,2022,hatchbacks,null,"Br 2,250,000"
NISSAN QASHQAI 2017,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-qashqai-2017-5313099
",Used,Nissan,null,Automatic,2 Wheel Drive,null,2017,4x4-suvs,null,"Br 3,150,000"
NISSAN JUKE 2012,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-juke-2012-5313092
",Used,Nissan,juke,Automatic,2 Wheel Drive,null,2012,4x4-suvs,null,"Br 2,350,000"
NISSAN JUKE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-juke-2022-brand-new-5313086
",New,Nissan,juke,Automatic,2 Wheel Drive,"2,500 km",2022,4x4-suvs,null,"Br 4,600,000"
TOYOTA RAIZE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-raize-2022-brand-new-5313084
",New,Toyota,null,Automatic,2 Wheel Drive,0 km,2022,4x4-suvs,null,"Br 3,650,000"
HYUNDAI SANTA FE HYBRID 2021,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-santa-fe-hybrid-2021-5313013
",New,Hyundai,Santa Fe,Automatic,Other,"3,000 km",2021,4x4-suvs,null,"Br 7,700,000"
HYUNDAI CRETA 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-creta-2022-brand-new-5313129
",New,Hyundai,Creta,Automatic,2 Wheel Drive,100 km,2022,4x4-suvs,null,"Br 5,150,000"
TOYOTA RAV4 HYBRID 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-rav4-hybrid-2022-brand-new-5313123
",New,Toyota,RAV4,Automatic,Other,0 km,2022,4x4-suvs,null,"Br 11,500,000"
PEUGEOT 5008 GT LINE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/peugeot-5008-gt-line-2022-brand-new-5313118
",New,Peugeot,null,Automatic,2 Wheel Drive,0 km,2022,4x4-suvs,null,"Br 6,600,000"
HYUNDAI TUCSON 2022 Dubai,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-tucson-2022-dubai-5313112
",New,Hyundai,Tucson,Automatic,Other,"7,000 km",2022,4x4-suvs,null,"Br 5,900,000"
HYUNDAI ATOS 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-atos-2022-brand-new-5313104
",New,Hyundai,Atos,Automatic,Other,0 km,2022,hatchbacks,null,"Br 2,250,000"
NISSAN QASHQAI 2017,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-qashqai-2017-5313099
",Used,Nissan,null,Automatic,2 Wheel Drive,null,2017,4x4-suvs,null,"Br 3,150,000"
NISSAN JUKE 2012,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-juke-2012-5313092
",Used,Nissan,juke,Automatic,2 Wheel Drive,null,2012,4x4-suvs,null,"Br 2,350,000"
NISSAN JUKE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-juke-2022-brand-new-5313086
",New,Nissan,juke,Automatic,2 Wheel Drive,"2,500 km",2022,4x4-suvs,null,"Br 4,600,000"
TOYOTA RAIZE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-raize-2022-brand-new-5313084
",New,Toyota,null,Automatic,2 Wheel Drive,0 km,2022,4x4-suvs,null,"Br 3,650,000"
HYUNDAI SANTA FE HYBRID 2021,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-santa-fe-hybrid-2021-5313013
",New,Hyundai,Santa Fe,Automatic,Other,"3,000 km",2021,4x4-suvs,null,"Br 7,700,000"
HYUNDAI CRETA 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-creta-2022-brand-new-5313129
",New,Hyundai,Creta,Automatic,2 Wheel Drive,100 km,2022,4x4-suvs,null,"Br 5,150,000"
TOYOTA RAV4 HYBRID 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-rav4-hybrid-2022-brand-new-5313123
",New,Toyota,RAV4,Automatic,Other,0 km,2022,4x4-suvs,null,"Br 11,500,000"
PEUGEOT 5008 GT LINE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/peugeot-5008-gt-line-2022-brand-new-5313118
",New,Peugeot,null,Automatic,2 Wheel Drive,0 km,2022,4x4-suvs,null,"Br 6,600,000"
HYUNDAI TUCSON 2022 Dubai,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-tucson-2022-dubai-5313112
",New,Hyundai,Tucson,Automatic,Other,"7,000 km",2022,4x4-suvs,null,"Br 5,900,000"
HYUNDAI ATOS 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-atos-2022-brand-new-5313104
",New,Hyundai,Atos,Automatic,Other,0 km,2022,hatchbacks,null,"Br 2,250,000"
NISSAN QASHQAI 2017,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-qashqai-2017-5313099
",Used,Nissan,null,Automatic,2 Wheel Drive,null,2017,4x4-suvs,null,"Br 3,150,000"
NISSAN JUKE 2012,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-juke-2012-5313092
",Used,Nissan,juke,Automatic,2 Wheel Drive,null,2012,4x4-suvs,null,"Br 2,350,000"
NISSAN JUKE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-juke-2022-brand-new-5313086
",New,Nissan,juke,Automatic,2 Wheel Drive,"2,500 km",2022,4x4-suvs,null,"Br 4,600,000"
TOYOTA RAIZE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-raize-2022-brand-new-5313084
",New,Toyota,null,Automatic,2 Wheel Drive,0 km,2022,4x4-suvs,null,"Br 3,650,000"
HYUNDAI SANTA FE HYBRID 2021,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-santa-fe-hybrid-2021-5313013
",New,Hyundai,Santa Fe,Automatic,Other,"3,000 km",2021,4x4-suvs,null,"Br 7,700,000"
HYUNDAI CRETA 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-creta-2022-brand-new-5313129
",New,Hyundai,Creta,Automatic,2 Wheel Drive,100 km,2022,4x4-suvs,null,"Br 5,150,000"
TOYOTA RAV4 HYBRID 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-rav4-hybrid-2022-brand-new-5313123
",New,Toyota,RAV4,Automatic,Other,0 km,2022,4x4-suvs,null,"Br 11,500,000"
PEUGEOT 5008 GT LINE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/peugeot-5008-gt-line-2022-brand-new-5313118
",New,Peugeot,null,Automatic,2 Wheel Drive,0 km,2022,4x4-suvs,null,"Br 6,600,000"
HYUNDAI TUCSON 2022 Dubai,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-tucson-2022-dubai-5313112
",New,Hyundai,Tucson,Automatic,Other,"7,000 km",2022,4x4-suvs,null,"Br 5,900,000"
HYUNDAI ATOS 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-atos-2022-brand-new-5313104
",New,Hyundai,Atos,Automatic,Other,0 km,2022,hatchbacks,null,"Br 2,250,000"
NISSAN QASHQAI 2017,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-qashqai-2017-5313099
",Used,Nissan,null,Automatic,2 Wheel Drive,null,2017,4x4-suvs,null,"Br 3,150,000"
NISSAN JUKE 2012,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-juke-2012-5313092
",Used,Nissan,juke,Automatic,2 Wheel Drive,null,2012,4x4-suvs,null,"Br 2,350,000"
NISSAN JUKE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-juke-2022-brand-new-5313086
",New,Nissan,juke,Automatic,2 Wheel Drive,"2,500 km",2022,4x4-suvs,null,"Br 4,600,000"
TOYOTA RAIZE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-raize-2022-brand-new-5313084
",New,Toyota,null,Automatic,2 Wheel Drive,0 km,2022,4x4-suvs,null,"Br 3,650,000"
HYUNDAI SANTA FE HYBRID 2021,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-santa-fe-hybrid-2021-5313013
",New,Hyundai,Santa Fe,Automatic,Other,"3,000 km",2021,4x4-suvs,null,"Br 7,700,000"
HYUNDAI CRETA 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-creta-2022-brand-new-5313129
",New,Hyundai,Creta,Automatic,2 Wheel Drive,100 km,2022,4x4-suvs,null,"Br 5,150,000"
TOYOTA RAV4 HYBRID 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-rav4-hybrid-2022-brand-new-5313123
",New,Toyota,RAV4,Automatic,Other,0 km,2022,4x4-suvs,null,"Br 11,500,000"
PEUGEOT 5008 GT LINE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/peugeot-5008-gt-line-2022-brand-new-5313118
",New,Peugeot,null,Automatic,2 Wheel Drive,0 km,2022,4x4-suvs,null,"Br 6,600,000"
HYUNDAI TUCSON 2022 Dubai,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-tucson-2022-dubai-5313112
",New,Hyundai,Tucson,Automatic,Other,"7,000 km",2022,4x4-suvs,null,"Br 5,900,000"
HYUNDAI ATOS 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-atos-2022-brand-new-5313104
",New,Hyundai,Atos,Automatic,Other,0 km,2022,hatchbacks,null,"Br 2,250,000"
NISSAN QASHQAI 2017,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-qashqai-2017-5313099
",Used,Nissan,null,Automatic,2 Wheel Drive,null,2017,4x4-suvs,null,"Br 3,150,000"
NISSAN JUKE 2012,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-juke-2012-5313092
",Used,Nissan,juke,Automatic,2 Wheel Drive,null,2012,4x4-suvs,null,"Br 2,350,000"
NISSAN JUKE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-juke-2022-brand-new-5313086
",New,Nissan,juke,Automatic,2 Wheel Drive,"2,500 km",2022,4x4-suvs,null,"Br 4,600,000"
TOYOTA RAIZE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-raize-2022-brand-new-5313084
",New,Toyota,null,Automatic,2 Wheel Drive,0 km,2022,4x4-suvs,null,"Br 3,650,000"
HYUNDAI SANTA FE HYBRID 2021,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-santa-fe-hybrid-2021-5313013
",New,Hyundai,Santa Fe,Automatic,Other,"3,000 km",2021,4x4-suvs,null,"Br 7,700,000"
HYUNDAI CRETA 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-creta-2022-brand-new-5313129
",New,Hyundai,Creta,Automatic,2 Wheel Drive,100 km,2022,4x4-suvs,null,"Br 5,150,000"
TOYOTA RAV4 HYBRID 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-rav4-hybrid-2022-brand-new-5313123
",New,Toyota,RAV4,Automatic,Other,0 km,2022,4x4-suvs,null,"Br 11,500,000"
PEUGEOT 5008 GT LINE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/peugeot-5008-gt-line-2022-brand-new-5313118
",New,Peugeot,null,Automatic,2 Wheel Drive,0 km,2022,4x4-suvs,null,"Br 6,600,000"
HYUNDAI TUCSON 2022 Dubai,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-tucson-2022-dubai-5313112
",New,Hyundai,Tucson,Automatic,Other,"7,000 km",2022,4x4-suvs,null,"Br 5,900,000"
HYUNDAI ATOS 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-atos-2022-brand-new-5313104
",New,Hyundai,Atos,Automatic,Other,0 km,2022,hatchbacks,null,"Br 2,250,000"
NISSAN QASHQAI 2017,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-qashqai-2017-5313099
",Used,Nissan,null,Automatic,2 Wheel Drive,null,2017,4x4-suvs,null,"Br 3,150,000"
NISSAN JUKE 2012,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-juke-2012-5313092
",Used,Nissan,juke,Automatic,2 Wheel Drive,null,2012,4x4-suvs,null,"Br 2,350,000"
NISSAN JUKE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-juke-2022-brand-new-5313086
",New,Nissan,juke,Automatic,2 Wheel Drive,"2,500 km",2022,4x4-suvs,null,"Br 4,600,000"
TOYOTA RAIZE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-raize-2022-brand-new-5313084
",New,Toyota,null,Automatic,2 Wheel Drive,0 km,2022,4x4-suvs,null,"Br 3,650,000"
HYUNDAI SANTA FE HYBRID 2021,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-santa-fe-hybrid-2021-5313013
",New,Hyundai,Santa Fe,Automatic,Other,"3,000 km",2021,4x4-suvs,null,"Br 7,700,000"
HYUNDAI CRETA 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-creta-2022-brand-new-5313129
",New,Hyundai,Creta,Automatic,2 Wheel Drive,100 km,2022,4x4-suvs,null,"Br 5,150,000"
TOYOTA RAV4 HYBRID 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-rav4-hybrid-2022-brand-new-5313123
",New,Toyota,RAV4,Automatic,Other,0 km,2022,4x4-suvs,null,"Br 11,500,000"
PEUGEOT 5008 GT LINE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/peugeot-5008-gt-line-2022-brand-new-5313118
",New,Peugeot,null,Automatic,2 Wheel Drive,0 km,2022,4x4-suvs,null,"Br 6,600,000"
HYUNDAI TUCSON 2022 Dubai,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-tucson-2022-dubai-5313112
",New,Hyundai,Tucson,Automatic,Other,"7,000 km",2022,4x4-suvs,null,"Br 5,900,000"
HYUNDAI ATOS 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-atos-2022-brand-new-5313104
",New,Hyundai,Atos,Automatic,Other,0 km,2022,hatchbacks,null,"Br 2,250,000"
NISSAN QASHQAI 2017,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-qashqai-2017-5313099
",Used,Nissan,null,Automatic,2 Wheel Drive,null,2017,4x4-suvs,null,"Br 3,150,000"
NISSAN JUKE 2012,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-juke-2012-5313092
",Used,Nissan,juke,Automatic,2 Wheel Drive,null,2012,4x4-suvs,null,"Br 2,350,000"
NISSAN JUKE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-juke-2022-brand-new-5313086
",New,Nissan,juke,Automatic,2 Wheel Drive,"2,500 km",2022,4x4-suvs,null,"Br 4,600,000"
TOYOTA RAIZE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-raize-2022-brand-new-5313084
",New,Toyota,null,Automatic,2 Wheel Drive,0 km,2022,4x4-suvs,null,"Br 3,650,000"
HYUNDAI SANTA FE HYBRID 2021,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-santa-fe-hybrid-2021-5313013
",New,Hyundai,Santa Fe,Automatic,Other,"3,000 km",2021,4x4-suvs,null,"Br 7,700,000"
HYUNDAI CRETA 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-creta-2022-brand-new-5313129
",New,Hyundai,Creta,Automatic,2 Wheel Drive,100 km,2022,4x4-suvs,null,"Br 5,150,000"
TOYOTA RAV4 HYBRID 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-rav4-hybrid-2022-brand-new-5313123
",New,Toyota,RAV4,Automatic,Other,0 km,2022,4x4-suvs,null,"Br 11,500,000"
PEUGEOT 5008 GT LINE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/peugeot-5008-gt-line-2022-brand-new-5313118
",New,Peugeot,null,Automatic,2 Wheel Drive,0 km,2022,4x4-suvs,null,"Br 6,600,000"
HYUNDAI TUCSON 2022 Dubai,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-tucson-2022-dubai-5313112
",New,Hyundai,Tucson,Automatic,Other,"7,000 km",2022,4x4-suvs,null,"Br 5,900,000"
HYUNDAI ATOS 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-atos-2022-brand-new-5313104
",New,Hyundai,Atos,Automatic,Other,0 km,2022,hatchbacks,null,"Br 2,250,000"
NISSAN QASHQAI 2017,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-qashqai-2017-5313099
",Used,Nissan,null,Automatic,2 Wheel Drive,null,2017,4x4-suvs,null,"Br 3,150,000"
NISSAN JUKE 2012,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-juke-2012-5313092
",Used,Nissan,juke,Automatic,2 Wheel Drive,null,2012,4x4-suvs,null,"Br 2,350,000"
NISSAN JUKE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-juke-2022-brand-new-5313086
",New,Nissan,juke,Automatic,2 Wheel Drive,"2,500 km",2022,4x4-suvs,null,"Br 4,600,000"
TOYOTA RAIZE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-raize-2022-brand-new-5313084
",New,Toyota,null,Automatic,2 Wheel Drive,0 km,2022,4x4-suvs,null,"Br 3,650,000"
HYUNDAI SANTA FE HYBRID 2021,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-santa-fe-hybrid-2021-5313013
",New,Hyundai,Santa Fe,Automatic,Other,"3,000 km",2021,4x4-suvs,null,"Br 7,700,000"
HYUNDAI CRETA 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-creta-2022-brand-new-5313129
",New,Hyundai,Creta,Automatic,2 Wheel Drive,100 km,2022,4x4-suvs,null,"Br 5,150,000"
TOYOTA RAV4 HYBRID 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-rav4-hybrid-2022-brand-new-5313123
",New,Toyota,RAV4,Automatic,Other,0 km,2022,4x4-suvs,null,"Br 11,500,000"
PEUGEOT 5008 GT LINE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/peugeot-5008-gt-line-2022-brand-new-5313118
",New,Peugeot,null,Automatic,2 Wheel Drive,0 km,2022,4x4-suvs,null,"Br 6,600,000"
HYUNDAI TUCSON 2022 Dubai,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-tucson-2022-dubai-5313112
",New,Hyundai,Tucson,Automatic,Other,"7,000 km",2022,4x4-suvs,null,"Br 5,900,000"
HYUNDAI ATOS 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-atos-2022-brand-new-5313104
",New,Hyundai,Atos,Automatic,Other,0 km,2022,hatchbacks,null,"Br 2,250,000"
NISSAN QASHQAI 2017,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-qashqai-2017-5313099
",Used,Nissan,null,Automatic,2 Wheel Drive,null,2017,4x4-suvs,null,"Br 3,150,000"
NISSAN JUKE 2012,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-juke-2012-5313092
",Used,Nissan,juke,Automatic,2 Wheel Drive,null,2012,4x4-suvs,null,"Br 2,350,000"
NISSAN JUKE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-juke-2022-brand-new-5313086
",New,Nissan,juke,Automatic,2 Wheel Drive,"2,500 km",2022,4x4-suvs,null,"Br 4,600,000"
TOYOTA RAIZE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-raize-2022-brand-new-5313084
",New,Toyota,null,Automatic,2 Wheel Drive,0 km,2022,4x4-suvs,null,"Br 3,650,000"
HYUNDAI SANTA FE HYBRID 2021,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-santa-fe-hybrid-2021-5313013
",New,Hyundai,Santa Fe,Automatic,Other,"3,000 km",2021,4x4-suvs,null,"Br 7,700,000"
HYUNDAI CRETA 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-creta-2022-brand-new-5313129
",New,Hyundai,Creta,Automatic,2 Wheel Drive,100 km,2022,4x4-suvs,null,"Br 5,150,000"
TOYOTA RAV4 HYBRID 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-rav4-hybrid-2022-brand-new-5313123
",New,Toyota,RAV4,Automatic,Other,0 km,2022,4x4-suvs,null,"Br 11,500,000"
PEUGEOT 5008 GT LINE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/peugeot-5008-gt-line-2022-brand-new-5313118
",New,Peugeot,null,Automatic,2 Wheel Drive,0 km,2022,4x4-suvs,null,"Br 6,600,000"
HYUNDAI TUCSON 2022 Dubai,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-tucson-2022-dubai-5313112
",New,Hyundai,Tucson,Automatic,Other,"7,000 km",2022,4x4-suvs,null,"Br 5,900,000"
HYUNDAI ATOS 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-atos-2022-brand-new-5313104
",New,Hyundai,Atos,Automatic,Other,0 km,2022,hatchbacks,null,"Br 2,250,000"
NISSAN QASHQAI 2017,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-qashqai-2017-5313099
",Used,Nissan,null,Automatic,2 Wheel Drive,null,2017,4x4-suvs,null,"Br 3,150,000"
NISSAN JUKE 2012,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-juke-2012-5313092
",Used,Nissan,juke,Automatic,2 Wheel Drive,null,2012,4x4-suvs,null,"Br 2,350,000"
NISSAN JUKE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-juke-2022-brand-new-5313086
",New,Nissan,juke,Automatic,2 Wheel Drive,"2,500 km",2022,4x4-suvs,null,"Br 4,600,000"
TOYOTA RAIZE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-raize-2022-brand-new-5313084
",New,Toyota,null,Automatic,2 Wheel Drive,0 km,2022,4x4-suvs,null,"Br 3,650,000"
HYUNDAI SANTA FE HYBRID 2021,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-santa-fe-hybrid-2021-5313013
",New,Hyundai,Santa Fe,Automatic,Other,"3,000 km",2021,4x4-suvs,null,"Br 7,700,000"
HYUNDAI CRETA 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-creta-2022-brand-new-5313129
",New,Hyundai,Creta,Automatic,2 Wheel Drive,100 km,2022,4x4-suvs,null,"Br 5,150,000"
TOYOTA RAV4 HYBRID 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-rav4-hybrid-2022-brand-new-5313123
",New,Toyota,RAV4,Automatic,Other,0 km,2022,4x4-suvs,null,"Br 11,500,000"
PEUGEOT 5008 GT LINE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/peugeot-5008-gt-line-2022-brand-new-5313118
",New,Peugeot,null,Automatic,2 Wheel Drive,0 km,2022,4x4-suvs,null,"Br 6,600,000"
HYUNDAI TUCSON 2022 Dubai,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-tucson-2022-dubai-5313112
",New,Hyundai,Tucson,Automatic,Other,"7,000 km",2022,4x4-suvs,null,"Br 5,900,000"
HYUNDAI ATOS 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-atos-2022-brand-new-5313104
",New,Hyundai,Atos,Automatic,Other,0 km,2022,hatchbacks,null,"Br 2,250,000"
NISSAN QASHQAI 2017,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-qashqai-2017-5313099
",Used,Nissan,null,Automatic,2 Wheel Drive,null,2017,4x4-suvs,null,"Br 3,150,000"
NISSAN JUKE 2012,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-juke-2012-5313092
",Used,Nissan,juke,Automatic,2 Wheel Drive,null,2012,4x4-suvs,null,"Br 2,350,000"
NISSAN JUKE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/nissan-juke-2022-brand-new-5313086
",New,Nissan,juke,Automatic,2 Wheel Drive,"2,500 km",2022,4x4-suvs,null,"Br 4,600,000"
TOYOTA RAIZE 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/toyota-raize-2022-brand-new-5313084
",New,Toyota,null,Automatic,2 Wheel Drive,0 km,2022,4x4-suvs,null,"Br 3,650,000"
HYUNDAI SANTA FE HYBRID 2021,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-santa-fe-hybrid-2021-5313013
",New,Hyundai,Santa Fe,Automatic,Other,"3,000 km",2021,4x4-suvs,null,"Br 7,700,000"
HYUNDAI CRETA 2022 BRAND NEW,"Bole, Addis Ababa","https://www.qefira.com/listings/hyundai-creta-2022-brand-new-5313129
",New,Hyundai,Creta,Automatic,2 Wheel Drive,100 km,2022,4x4-suvs,null,"Br 5,150,000"
